"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"22"	"Fluoxetine 20mg capsules"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"49"	"Amitriptyline 25mg tablets"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"50"	"Paroxetine 20mg tablets"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"67"	"Citalopram 20mg tablets"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"74"	"Dosulepin 75mg tablets"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"83"	"Amitriptyline 10mg tablets"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"84"	"Dosulepin 25mg capsules"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"114"	"Lofepramine 70mg tablets"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"182"	"Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd)"	"Amitriptyline"	"10mg/ml"	"Injection"	"Intramuscular"	"04030100"	"Amitriptyline"
"252"	"Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"301"	"Venlafaxine 37.5mg tablets"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"418"	"Prozac 20mg capsules (Eli Lilly and Company Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"470"	"Venlafaxine 75mg modified-release capsules"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"476"	"Citalopram 10mg tablets"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"487"	"Amitriptyline 25mg modified-release capsules"	"Amitriptyline"	"25mg"	"Modified-release capsule"	"Oral"	"00000000"	"Amitriptyline"
"488"	"Sertraline 50mg tablets"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"513"	"Citalopram 40mg/ml oral drops sugar free"	"Citalopram"	"40mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Citalopram"
"527"	"Paroxetine 10mg/5ml oral suspension sugar free"	"Paroxetine"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Paroxetine"
"595"	"Amitriptyline 25mg / Perphenazine 2mg tablets"	"Amitriptyline"	"25mg + 2mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"603"	"Escitalopram 10mg tablets"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"623"	"Efexor 37.5mg tablets (Wyeth Pharmaceuticals)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"648"	"Cipralex 10mg tablets (Lundbeck Ltd)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"727"	"Sertraline 100mg tablets"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"742"	"Mirtazapine 30mg tablets"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"785"	"Cipralex 5mg tablets (Lundbeck Ltd)"	"Escitalopram"	"5mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"815"	"Cipramil 40mg/ml drops (Lundbeck Ltd)"	"Citalopram"	"40mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Citalopram"
"841"	"Seroxat 20mg tablets (GlaxoSmithKline UK Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"873"	"AMITRIPTYLINE 100 MG TAB"	"Amitriptyline"	NA	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"1169"	"Prothiaden 25mg capsules (Teofarma)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"1208"	"Triptafen tablets (AMCo)"	"Amitriptyline"	"25mg + 2mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"1222"	"Venlafaxine 75mg tablets"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"1310"	"Imipramine 10mg tablets"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"1397"	"Paroxetine 30mg tablets"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"1453"	"Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg + 2mg"	"Tablet"	"Oral"	"04020100/04030100"	"Amitriptyline"
"1474"	"Efexor XL 75mg capsules (Pfizer Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"1575"	"Seroxat 30mg tablets (GlaxoSmithKline UK Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
