"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"AP"	"deliverymethod"
"58941000033117"	"Amisulpride 200mg tablets"	"Tablet"	"Oral"	"Amisulpride"	"200.000mg"	"4020100"	"Amisulpride"	"Oral"
"59041000033114"	"Amisulpride 50mg tablets"	"Tablet"	"Oral"	"Amisulpride"	"50.000mg"	"4020100"	"Amisulpride"	"Oral"
"69041000033115"	"Anquil 250microgram tablets"	"Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"4020100"	"Benperidol"	"Oral"
"145141000033119"	"Benperidol 250microgram tablets"	"Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"4020100"	"Benperidol"	"Oral"
"173841000033113"	"Buccastem 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	"4060000"	"Prochlorperazine"	"Oral"
"240041000033110"	"Chlorpromazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	NA	"Chlorpromazine"	"Oral"
"241341000033116"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	"4060000"	"Chlorpromazine"	"Injection"
"242241000033115"	"Chlorpromazine Hydrochloride Injection 100 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"100 mg/5 ml"	NA	"Chlorpromazine"	"Injection"
"242341000033113"	"Chlorpromazine Hydrochloride Injection 25 mg/ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25 mg/ml"	NA	"Chlorpromazine"	"Injection"
"246541000033119"	"Chlorpromazine Hydrochloride Suppositories 100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	"100 mg"	NA	"Chlorpromazine"	"Oral"
"246641000033118"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	NA	"Chlorpromazine"	"Oral"
"249041000033117"	"Chlorpromazine 10mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	"4060000"	"Chlorpromazine"	"Oral"
"249141000033118"	"Chlorpromazine 100mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	"4060000"	"Chlorpromazine"	"Oral"
"249241000033113"	"Chlorpromazine 25mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	"4060000"	"Chlorpromazine"	"Oral"
"249341000033115"	"Chlorpromazine 50mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	"4060000"	"Chlorpromazine"	"Oral"
"273641000033114"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"4020100"	"Zuclopenthixol"	"Injection"
"274841000033112"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"4020100"	"Zuclopenthixol"	"Injection"
