"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"AP"	"deliverymethod"
"85"	"Prochlorperazine 5mg tablets"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"227"	"Stemetil 5mg suppositories (Sanofi)"	"Prochlorperazine"	"5mg"	"Suppository"	"Rectal"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"228"	"Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Perphenazine"	"5mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Perphenazine"	"Injection"
"237"	"PROCHLORPERAZINE 5 MG ELI"	"Prochlorperazine"	"5 MG"	"Oral solution"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"247"	"CHLORPROMAZINE 50 MG INJ"	"Chlorpromazine"	"50 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Chlorpromazine"	"Injection"
"284"	"Melleril 10mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"10mg"	"Tablet"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"302"	"Risperidone 1mg/ml oral solution sugar free"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Risperidone"	"Oral"
"329"	"Haloperidol 1.5mg tablets"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"475"	"Haloperidol 10mg tablets"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"500"	"Buccastem 3mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Prochlorperazine"	"3mg"	"Buccal tablet"	"Buccal"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"512"	"Stemetil 5mg Tablet (Castlemead Healthcare Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"588"	"Chlorpromazine 25mg tablets"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"600"	"Flupentixol 1mg tablets"	"Flupentixol"	"1mg"	"Tablet"	"Oral"	"04030400"	"Flupentixol"	"Oral"
"609"	"Perphenazine 2mg tablets"	"Perphenazine"	"2mg"	"Tablet"	"Oral"	"04020101/04060000"	"Perphenazine"	"Oral"
"631"	"Risperdal 500microgram tablets (Janssen-Cilag Ltd)"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"667"	"Risperidone 500microgram tablets"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"840"	"Fentazin 2mg tablets (AMCo)"	"Perphenazine"	"2mg"	"Tablet"	"Oral"	"04020101"	"Perphenazine"	"Oral"
"1159"	"Trifluoperazine 2mg modified-release capsules"	"Trifluoperazine"	"2mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"1162"	"Melleril 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"25mg"	"Tablet"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"1192"	"Thioridazine 10mg tablets"	"Thioridazine"	"10mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"1218"	"Thioridazine 25mg tablets"	"Thioridazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"1234"	"Stemetil 25mg suppositories (Sanofi)"	"Prochlorperazine"	"25mg"	"Suppository"	"Rectal"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"1245"	"Trifluoperazine 5mg tablets"	"Trifluoperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
