"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"moodstabilisers"
"432"	"Carbamazepine 100mg tablets"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"584"	"Sodium valproate 200mg gastro-resistant tablets"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"596"	"Carbamazepine 100mg/5ml oral suspension sugar free"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"652"	"Carbamazepine 400mg tablets"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"760"	"Lithium carbonate 200mg modified-release tablets"	"Lithium"	"200mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"872"	"Priadel 400mg modified-release tablets (Sanofi)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"1158"	"Carbamazepine 200mg tablets"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"1447"	"Lithium carbonate 400mg modified-release tablets"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"1550"	"Sodium valproate 200mg/5ml oral solution"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"2079"	"Lamotrigine 25mg tablets"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"2080"	"Lamotrigine 50mg tablets"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"2081"	"Lamotrigine 5mg dispersible tablets sugar free"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"2082"	"Epilim 200mg/5ml liquid (Sanofi)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
